"Time_Iter",    "Cur_Time"    ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,    "Avg_Press"   ,       "CD"       ,       "CL"       ,     "probe1"     
         63,              0.63,      -9.514310886,      -10.31873708,      -10.78403126,                 0,       1.658544019,  -0.0007602493261,      0.1188942059
         64,              0.64,      -9.474695154,      -10.28157053,      -10.75837717,                 0,       1.653985813,  -0.0007576223089,      0.1188801106
         65,              0.65,       -9.50033531,      -10.30829506,      -10.78305741,                 0,       1.649574265,  -0.0007740759744,      0.1188656381
         66,              0.66,      -9.587747073,      -10.39549457,      -10.85248651,                 0,       1.645355356,  -0.0007992845901,      0.1188508322
         67,              0.67,       -9.69594761,       -10.5020868,      -10.92742983,                 0,       1.641258124,  -0.0008213131486,      0.1188357645
         68,              0.68,      -9.717229976,      -10.52243875,       -10.9099033,                 0,       1.637332511,  -0.0008372078614,       0.118820525
         69,              0.69,      -9.648819531,      -10.45562172,      -10.82539918,                 0,       1.633477142,  -0.0008345214989,      0.1188052107
         70,               0.7,      -9.583643845,      -10.39043487,      -10.76352589,                 0,       1.629600445,  -0.0008060257207,      0.1187899197
         71,              0.71,      -9.557188803,      -10.36327949,      -10.73970233,                 0,        1.62576017,  -0.0007673048091,      0.1187747565
         72,              0.72,      -9.571080451,      -10.37779039,      -10.75036931,                 0,       1.622011339,  -0.0007369529268,      0.1187598299
         73,              0.73,      -9.616057163,      -10.42408745,      -10.79097978,                 0,        1.61835925,  -0.0007163890827,      0.1187452489
         74,              0.74,      -9.676325988,      -10.48390948,      -10.85336137,                 0,       1.614798912,  -0.0006974939845,      0.1187311249
         75,              0.75,      -9.723973877,      -10.52815793,        -10.916047,                 0,       1.611330865,  -0.0006726752727,      0.1187175804
         76,              0.76,      -9.730293817,      -10.53175502,      -10.94567785,                 0,       1.607943745,  -0.0006384551117,      0.1187047528
         77,              0.77,      -9.702734285,       -10.5049836,        -10.938452,                 0,       1.604604869,  -0.0005954323657,       0.118692796
         78,              0.78,      -9.674525281,      -10.47903757,      -10.92338869,                 0,       1.601342904,  -0.0005475557364,      0.1186818832
         79,              0.79,      -9.667403567,      -10.47314474,      -10.92110731,                 0,       1.598142811,  -0.0005000287369,      0.1186722139
         80,               0.8,      -9.686181232,      -10.49168279,      -10.93604089,                 0,       1.595004332,  -0.0004559947976,      0.1186640096
         81,              0.81,      -9.720142441,      -10.52415643,      -10.95814268,                 0,       1.591935117,  -0.0004138059436,       0.118657504
         82,              0.82,      -9.745706581,      -10.54809811,      -10.96561967,                 0,        1.58893668,  -0.0003693856215,      0.1186529348
         83,              0.83,      -9.744334616,      -10.54621957,      -10.94540195,                 0,       1.586000184,  -0.0003189351843,      0.1186505358
         84,              0.84,       -9.72280194,      -10.52524554,      -10.91110163,                 0,       1.583105858,  -0.0002602421131,      0.1186505277
         85,              0.85,      -9.700663594,      -10.50382231,      -10.88326962,                 0,       1.580243871,  -0.0001942965092,      0.1186531114
         86,              0.86,      -9.690920717,      -10.49458694,      -10.87198384,                 0,       1.577421072,  -0.0001253018323,      0.1186584617
         87,              0.87,       -9.69683795,      -10.50084278,      -10.87876881,                 0,       1.574648155,  -5.748289692e-05,      0.1186667232
         88,              0.88,      -9.714831929,      -10.51872736,      -10.90050909,                 0,       1.571929886,   8.155463448e-06,      0.1186780057
         89,              0.89,      -9.736900549,      -10.53987061,       -10.9302481,                 0,       1.569265835,   7.315594491e-05,      0.1186923804
         90,               0.9,      -9.753388813,      -10.55496232,      -10.95806929,                 0,       1.566652974,   0.0001393966706,        0.11870988
         91,              0.91,      -9.758379165,       -10.5590961,      -10.97572264,                 0,       1.564085899,   0.0002075202816,      0.1187304991
         92,              0.92,      -9.754517078,      -10.55537451,      -10.98298076,                 0,       1.561591744,   0.0002766713222,      0.1187541941
         93,              0.93,      -9.748939912,      -10.55044132,      -10.98475058,                 0,       1.559146941,   0.0003454559961,      0.1187808853
         94,              0.94,      -9.748264797,      -10.55023417,      -10.98680909,                 0,       1.556737576,   0.0004123608689,      0.1188104564
         95,              0.95,      -9.754203963,      -10.55606806,      -10.99085191,                 0,       1.554366663,   0.0004764809902,      0.1188427539
         96,              0.96,      -9.763242336,      -10.56456861,      -10.99398662,                 0,       1.552035707,   0.0005380828438,      0.1188775867
         97,              0.97,      -9.769543902,      -10.57032777,      -10.99176267,                 0,       1.549744582,   0.0005981809263,      0.1189147257
         98,              0.98,      -9.769419993,       -10.5700389,      -10.98265027,                 0,       1.547490571,   0.0006577151402,      0.1189539029
         99,              0.99,      -9.764028263,      -10.56492921,      -10.96995203,                 0,        1.54527009,   0.0007169795107,      0.1189948127
        100,                 1,      -9.757735103,      -10.55911726,      -10.95914293,                 0,       1.543080945,     0.00077538518,      0.1190371126
        101,              1.01,      -9.754659549,      -10.55642261,       -10.9543453,                 0,       1.540923273,   0.0008317398084,      0.1190804252
        102,              1.02,      -9.756592153,      -10.55842796,      -10.95699315,                 0,       1.538798595,   0.0008848486223,      0.1191243414
        103,              1.03,      -9.762750421,      -10.56426402,      -10.96606021,                 0,       1.536708193,   0.0009340310666,       0.119168424
        104,              1.04,      -9.770574517,       -10.5714477,      -10.97872669,                 0,       1.534652063,   0.0009792841119,      0.1192122128
        105,              1.05,      -9.777120733,      -10.57726491,       -10.9914443,                 0,       1.532628999,    0.001020747817,       0.119255229
        106,              1.06,      -9.780658207,      -10.58025482,      -11.00146918,                 0,       1.530637236,    0.001058366085,      0.1192969814
        107,              1.07,      -9.781479654,       -10.5808432,      -11.00798473,                 0,       1.528674899,    0.001091864075,       0.119336972
        108,              1.08,      -9.781863545,      -10.58118663,      -11.01256784,                 0,        1.52677862,    0.001120697482,      0.1193747008
        109,              1.09,      -9.782661331,       -10.5819622,      -11.01517574,                 0,       1.524907667,    0.001144545701,      0.1194096694
        110,               1.1,      -9.784975404,      -10.58414214,      -11.01702207,                 0,       1.523065085,    0.001163101337,      0.1194413882
        111,              1.11,      -9.788054028,      -10.58696947,      -11.01764233,                 0,       1.521248994,      0.0011763253,       0.119469379
        112,              1.12,      -9.790435608,      -10.58913093,      -11.01625861,                 0,       1.519458978,    0.001184452289,      0.1194931778
        113,              1.13,      -9.791182408,      -10.58976561,       -11.0127709,                 0,       1.517694651,    0.001187787065,      0.1195123372
        114,              1.14,      -9.790500569,      -10.58907627,      -11.00826352,                 0,       1.515955162,    0.001186510359,       0.119526429
        115,              1.15,      -9.789457515,      -10.58806776,      -11.00447567,                 0,       1.514239793,    0.001180428553,      0.1195350465
        116,              1.16,      -9.789184048,      -10.58777251,      -11.00286119,                 0,       1.512548135,     0.00116927154,       0.119537806
        117,              1.17,        -9.7903127,      -10.58873264,      -11.00407843,                 0,       1.510880196,    0.001152854726,      0.1195343485
        118,              1.18,      -9.792794698,      -10.59085524,       -11.0079459,                 0,       1.509236205,    0.001130992088,      0.1195243417
        119,              1.19,      -9.796035786,      -10.59359654,      -11.01364791,                 0,        1.50761744,    0.001103650139,      0.1195074817
        120,               1.2,      -9.799157996,      -10.59621333,      -11.01987447,                 0,       1.506023653,    0.001070912894,      0.1194834943
        121,              1.21,      -9.801493303,      -10.59809933,      -11.02545983,                 0,       1.504452413,    0.001032938989,      0.1194521365
        122,              1.22,      -9.803034937,      -10.59927127,      -11.02989383,                 0,       1.502903146,    0.000989772006,      0.1194131978
        123,              1.23,      -9.804167386,       -10.6001215,      -11.03312827,                 0,       1.501375184,   0.0009414777496,      0.1193665011
        124,              1.24,      -9.805255429,      -10.60099767,      -11.03527053,                 0,       1.499867969,   0.0008882186894,      0.1193119022
        125,              1.25,      -9.806489156,      -10.60202629,      -11.03647312,                 0,       1.498381201,   0.0008301963346,      0.1192492898
        126,              1.26,      -9.808180429,      -10.60349049,      -11.03739925,                 0,       1.496930907,   0.0007675003847,       0.119178583
        127,              1.27,      -9.809928672,      -10.60503172,      -11.03775634,                 0,       1.495512193,   0.0007004577151,      0.1190997318
        128,              1.28,      -9.811245264,      -10.60624324,       -11.0373505,                 0,       1.494112675,   0.0006296008541,      0.1190127174
        129,              1.29,      -9.812143088,      -10.60711969,      -11.03658911,                 0,        1.49273208,   0.0005551878382,      0.1189175501
        130,               1.3,      -9.812865999,      -10.60780284,      -11.03599348,                 0,       1.491369523,   0.0004774739911,      0.1188142678
        131,              1.31,       -9.81380921,      -10.60862918,      -11.03615896,                 0,       1.490024877,   0.0003967416673,      0.1187029335
        132,              1.32,      -9.815119842,      -10.60975489,      -11.03730475,                 0,       1.488697766,   0.0003132371462,      0.1185836335
        133,              1.33,      -9.816713783,      -10.61108743,      -11.03935906,                 0,       1.487387878,    0.000227249395,      0.1184564751
        134,              1.34,      -9.818551651,      -10.61258008,      -11.04223185,                 0,       1.486095312,   0.0001390828882,      0.1183215861
        135,              1.35,      -9.820556604,      -10.61423534,      -11.04568869,                 0,       1.484819975,   4.905627606e-05,      0.1181791132
        136,              1.36,      -9.822440511,       -10.6158583,      -11.04918936,                 0,       1.483561298,   -4.24731238e-05,      0.1180292201
        137,              1.37,      -9.823990253,      -10.61723079,      -11.05226426,                 0,       1.482318849,  -0.0001350779854,       0.117872086
        138,              1.38,      -9.825386747,      -10.61847926,      -11.05489934,                 0,       1.481092609,  -0.0002283747526,      0.1177079044
        139,              1.39,      -9.826904267,      -10.61988082,      -11.05724411,                 0,       1.479882384,  -0.0003220352182,      0.1175368825
        140,               1.4,      -9.828491158,      -10.62140388,      -11.05917276,                 0,       1.478687594,  -0.0004156362175,      0.1173592388
        141,              1.41,      -9.829956015,      -10.62282428,      -11.06049366,                 0,       1.477507868,  -0.0005087111281,       0.117175201
        142,              1.42,      -9.831333809,       -10.6241392,      -11.06134928,                 0,       1.476343289,  -0.0006008274505,      0.1169850048
        143,              1.43,      -9.832733715,      -10.62549414,      -11.06204662,                 0,       1.475193804,   -0.000691541069,       0.116788893
        144,              1.44,      -9.834070425,      -10.62684477,      -11.06269477,                 0,       1.474058861,  -0.0007803732126,      0.1165871135
        145,              1.45,      -9.835260142,      -10.62806815,      -11.06335919,                 0,        1.47293802,  -0.0008669278366,       0.116379917
        146,              1.46,      -9.836479488,      -10.62928957,      -11.06433398,                 0,       1.471831326,  -0.0009507879684,      0.1161675563
        147,              1.47,      -9.837964343,      -10.63076761,      -11.06599921,                 0,       1.470741643,   -0.001031570623,      0.1159502852
        148,              1.48,      -9.839898192,      -10.63283768,      -11.06880276,                 0,       1.469684142,   -0.001108959724,      0.1157283542
        149,              1.49,      -9.841544675,      -10.63452783,      -11.07136199,                 0,       1.468639103,   -0.001182528413,      0.1155020149
        150,               1.5,      -9.843383261,      -10.63638633,      -11.07433357,                 0,       1.467611874,   -0.001251905843,       0.115271517
        151,              1.51,      -9.845334181,      -10.63832568,       -11.0774218,                 0,        1.46659986,   -0.001316815369,      0.1150371085
        152,              1.52,      -9.847109867,      -10.64011279,      -11.08022685,                 0,       1.465600129,    -0.00137694849,      0.1147990339
        153,              1.53,      -9.848644976,      -10.64164655,      -11.08258427,                 0,       1.464612591,   -0.001431946484,      0.1145575335
        154,              1.54,      -9.850147693,      -10.64310516,      -11.08463423,                 0,       1.463637111,   -0.001481505692,      0.1143128432
        155,              1.55,      -9.851783371,      -10.64470888,      -11.08658898,                 0,        1.46267363,   -0.001525352692,      0.1140651944
        156,              1.56,       -9.85336067,      -10.64631964,      -11.08832246,                 0,        1.46172181,   -0.001563242498,       0.113814813
        157,              1.57,      -9.854749577,      -10.64775901,       -11.0897082,                 0,       1.460781437,   -0.001594909889,      0.1135619186
        158,              1.58,      -9.856162325,      -10.64919487,      -11.09098743,                 0,       1.459852664,   -0.001620083467,      0.1133067246
        159,              1.59,       -9.85771001,      -10.65079456,      -11.09241362,                 0,        1.45893548,   -0.001638584544,      0.1130494382
        160,               1.6,      -9.859156714,      -10.65236476,       -11.0938591,                 0,       1.458029397,   -0.001650264317,      0.1127902598
        161,              1.61,      -9.860397263,      -10.65371451,      -11.09519547,                 0,       1.457134068,   -0.001654969118,      0.1125293819
        162,              1.62,      -9.861700433,      -10.65504099,      -11.09667484,                 0,       1.456249649,   -0.001652592374,      0.1122669896
        163,              1.63,      -9.863159418,      -10.65650902,       -11.0984741,                 0,       1.455376166,   -0.001643083593,      0.1120032613
        164,              1.64,      -9.864456261,      -10.65786112,       -11.1003068,                 0,       1.454513954,   -0.001626426492,      0.1117383673
        165,              1.65,      -9.865772519,      -10.65932864,      -11.10254713,                 0,       1.453676267,   -0.001602671614,      0.1114724682
        166,              1.66,      -9.866983494,      -10.66053047,      -11.10441562,                 0,       1.452848167,   -0.001571826267,      0.1112057187
        167,              1.67,      -9.868502807,      -10.66206359,      -11.10663104,                 0,        1.45203062,   -0.001533887985,      0.1109382677
        168,              1.68,      -9.869865759,       -10.6635116,      -11.10866323,                 0,       1.451222422,   -0.001488898609,      0.1106702564
        169,              1.69,      -9.870831341,      -10.66454931,      -11.11011805,                 0,       1.450422951,    -0.00143699769,      0.1104018177
        170,               1.7,      -9.871886473,      -10.66558079,      -11.11140647,                 0,       1.449632782,   -0.001378337239,      0.1101330778
        171,              1.71,      -9.873233054,      -10.66690848,      -11.11289237,                 0,       1.448852052,   -0.001313087417,      0.1098641572
        172,              1.72,       -9.87438329,      -10.66812876,      -11.11419027,                 0,       1.448080063,   -0.001241466988,      0.1095951697
        173,              1.73,      -9.875126215,      -10.66894095,      -11.11496179,                 0,       1.447316434,   -0.001163684971,      0.1093262213
        174,              1.74,      -9.876003891,      -10.66981253,      -11.11569945,                 0,       1.446561658,   -0.001079968575,      0.1090574116
        175,              1.75,      -9.877292061,      -10.67112824,      -11.11693527,                 0,       1.445817482,  -0.0009906139895,      0.1087888352
        176,              1.76,       -9.87844917,      -10.67245829,      -11.11839095,                 0,       1.445086285,  -0.0008959785589,      0.1085205808
        177,              1.77,      -9.879103789,      -10.67325112,      -11.11925022,                 0,       1.444362967,  -0.0007964092397,      0.1082527299
        178,              1.78,      -9.879988172,      -10.67417461,      -11.12021075,                 0,       1.443648273,  -0.0006922641248,      0.1079853581
        179,              1.79,      -9.881355625,      -10.67556881,       -11.1217746,                 0,       1.442942328,  -0.0005839298786,      0.1077185374
        180,               1.8,      -9.882467401,      -10.67678145,      -11.12332421,                 0,        1.44224426,  -0.0004718351585,      0.1074523347
        181,              1.81,      -9.882969134,       -10.6773672,      -11.12417893,                 0,       1.441553452,  -0.0003564239128,      0.1071868099
        182,              1.82,      -9.883629266,      -10.67801452,      -11.12491648,                 0,       1.440870467,  -0.0002380897171,      0.1069220172
        183,              1.83,      -9.884910796,      -10.67928983,      -11.12634496,                 0,       1.440195802,  -0.0001172771783,      0.1066580089
        184,              1.84,      -9.886068292,      -10.68054592,      -11.12793215,                 0,       1.439528582,   5.444329855e-06,      0.1063948336
        185,              1.85,      -9.886579657,       -10.6811684,       -11.1287602,                 0,       1.438867916,   0.0001295246652,      0.1061325335
        186,              1.86,      -9.887218603,      -10.68183974,      -11.12934826,                 0,       1.438214443,   0.0002545281171,      0.1058711459
        187,              1.87,      -9.888556521,      -10.68323005,      -11.13068901,                 0,       1.437568992,   0.0003799503357,       0.105610707
        188,              1.88,      -9.889833421,      -10.68466616,      -11.13230777,                 0,       1.436930733,    0.000505214809,      0.1053512507
        189,              1.89,      -9.890413499,      -10.68539525,      -11.13312228,                 0,       1.436298453,   0.0006297676185,      0.1050928053
        190,               1.9,      -9.891072186,      -10.68609579,      -11.13358972,                 0,       1.435672665,   0.0007531260132,      0.1048353941
        191,              1.91,      -9.892705958,      -10.68793891,       -11.1355063,                 0,       1.435066099,   0.0008747805313,      0.1045790401
        192,              1.92,      -9.894106606,      -10.68952162,      -11.13736975,                 0,        1.43446619,   0.0009940928954,      0.1043237657
        193,              1.93,      -9.894794798,      -10.69038226,      -11.13845741,                 0,       1.433871992,    0.001110511125,      0.1040695876
        194,              1.94,      -9.895596671,      -10.69123945,      -11.13914903,                 0,       1.433283538,     0.00122363027,      0.1038165182
        195,              1.95,      -9.897223527,      -10.69291393,      -11.14075535,                 0,       1.432701787,    0.001332945937,        0.10356457
        196,              1.96,      -9.898874662,      -10.69468981,      -11.14292761,                 0,       1.432126279,    0.001437850726,      0.1033137559
        197,              1.97,      -9.899620208,      -10.69554277,      -11.14412596,                 0,       1.431555433,    0.001537797868,      0.1030640838
        198,              1.98,      -9.900319229,      -10.69625628,      -11.14469009,                 0,       1.430989553,    0.001632368335,      0.1028155569
        199,              1.99,      -9.902011418,      -10.69797754,      -11.14634174,                 0,       1.430430287,    0.001721177159,      0.1025681797
        200,                 2,      -9.903885113,      -10.69998451,      -11.14880785,                 0,       1.429877242,    0.001803702034,      0.1023219582
        201,              2.01,      -9.904736418,      -10.70096489,      -11.15019022,                 0,       1.429328444,    0.001879407155,      0.1020768941
        202,              2.02,      -9.905390722,      -10.70166407,      -11.15066486,                 0,       1.428784045,    0.001947946137,      0.1018329841
        203,              2.03,      -9.907187597,      -10.70353281,      -11.15234628,                 0,       1.428246023,    0.002009129203,      0.1015902263
        204,              2.04,      -9.909411524,      -10.70592002,      -11.15519479,                 0,       1.427714167,    0.002062593317,      0.1013486223
        205,              2.05,      -9.910506488,      -10.70714185,      -11.15688404,                 0,       1.427186119,    0.002107815914,      0.1011081698
        206,              2.06,      -9.911101057,      -10.70776816,      -11.15726985,                 0,       1.426661727,    0.002144557574,      0.1008688604
        207,              2.07,      -9.912837943,      -10.70956049,      -11.15883771,                 0,       1.426143402,    0.002172726886,      0.1006306876
        208,              2.08,      -9.915229675,      -10.71207885,      -11.16190439,                 0,       1.425631388,    0.002192044928,      0.1003936495
        209,              2.09,      -9.916454782,      -10.71339518,      -11.16384658,                 0,       1.425122935,    0.002202157811,      0.1001577408
        210,               2.1,      -9.916941936,      -10.71390101,      -11.16417834,                 0,       1.424617341,    0.002202960692,     0.09992294983
        211,              2.11,      -9.918688278,      -10.71570396,      -11.16580287,                 0,       1.424117345,    0.002194519076,     0.09968926602
        212,              2.12,      -9.921437214,      -10.71856551,      -11.16937988,                 0,         1.4236238,    0.002176722618,     0.09945668538
        213,              2.13,      -9.922904484,        -10.720111,      -11.17175109,                 0,       1.423133697,    0.002149351371,     0.09922520159
        214,              2.14,      -9.923150391,      -10.72039038,      -11.17190355,                 0,       1.422645746,    0.002112438717,     0.09899480017
        215,              2.15,      -9.924728764,      -10.72206475,      -11.17332092,                 0,       1.422163047,    0.002066273242,     0.09876546752
        216,              2.16,      -9.927869295,      -10.72529331,      -11.17731807,                 0,       1.421687124,    0.002010946594,      0.0985371984
        217,              2.17,      -9.929721062,      -10.72717665,      -11.18013842,                 0,       1.421214602,     0.00194627458,      0.0983099867
        218,              2.18,      -9.929634411,      -10.72712917,      -11.17994592,                 0,       1.420743313,    0.001872450178,     0.09808381645
        219,              2.19,      -9.930841741,      -10.72848365,      -11.18093056,                 0,       1.420276722,    0.001789917543,     0.09785867109
        220,               2.2,      -9.934563428,      -10.73268308,      -11.18632927,                 0,       1.419826101,    0.001698934526,     0.09763454477
        221,              2.21,      -9.937071312,      -10.73519337,      -11.18999709,                 0,       1.419378942,    0.001599522681,     0.09741143287
        222,              2.22,      -9.936668916,      -10.73489542,      -11.18963784,                 0,       1.418932051,    0.001491967077,      0.0971893191
        223,              2.23,      -9.937313468,      -10.73585908,       -11.1900882,                 0,       1.418488888,    0.001376942928,     0.09696818381
        224,              2.24,      -9.941302776,      -10.73991188,      -11.19500774,                 0,       1.418053323,    0.001254857274,     0.09674802002
        225,              2.25,      -9.944781953,      -10.74321725,      -11.19959335,                 0,       1.417621661,    0.001125890105,     0.09652882563
        226,              2.26,      -9.943890148,      -10.74234922,      -11.19879438,                 0,       1.417188779,   0.0009904512984,     0.09631058471
        227,              2.27,      -9.943273949,      -10.74216886,      -11.19801448,                 0,       1.416758256,   0.0008492945572,     0.09609327403
        228,              2.28,        -9.9474296,      -10.74639416,      -11.20316731,                 0,       1.416336356,   0.0007030512425,     0.09587688499
        229,              2.29,      -9.952306219,      -10.75095119,      -11.20920298,                 0,        1.41591975,   0.0005520227483,     0.09566141914
